Afvalstroomnummer,Verwerkersnummer Locatie van Bestemming (LvB),LvB KvK nummer,LvB Bedrijfsnaam,LvB Adres,LvB Postcode/Plaats,Handelsregisternummer Ontdoener,Naam Ontdoener,Land Ontdoener,LocatieHerkomst Straatnaam,LocatieHerkomst Huisnummer,LocatieHerkomst HuisnummerToevoeging,LocatieHerkomst Postcode,LocatieHerkomst Plaats,LocatieHerkomst Nabijheidsbeschrijving,LocatieHerkomst Land,Euralcode,Euralcode Omschrijving,Gebruikelijke Naam Afvalstof,VerwerkingsMethode Code,VerwerkingsMethode Omschrijving,Routeinzameling,Inzamelaarsregeling,Particuliere Ontdoener
087970000004,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,81092237,Deforma B.V.,Nederland,Zernikestraat,4,,2665JJ,BLEISWIJK,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000004,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,81092237,Deforma B.V.,Nederland,Zernikestraat,4,,2665JJ,BLEISWIJK,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000005,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,81092237,Deforma B.V.,Nederland,Zernikestraat,4,,2665JJ,BLEISWIJK,,Nederland,170402,aluminium,aluminium,A02,Overslag / opbulken,N,N,N
087970000005,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,81092237,Deforma B.V.,Nederland,Zernikestraat,4,,2665JJ,BLEISWIJK,,Nederland,170402,aluminium,aluminium,A02,Overslag / opbulken,N,N,N
087970000006,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,56889143,5Hands Metaal B.V.,Nederland,Jan van der Heydenstraat,26,D,2665JA,BLEISWIJK,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000006,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,56889143,5Hands Metaal B.V.,Nederland,Jan van der Heydenstraat,26,D,2665JA,BLEISWIJK,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000011,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Barwoutswaarder,89,,3449HK,WOERDEN,,Nederland,170405,ijzer en staal,Ijzer,A02,Overslag / opbulken,N,N,N
087970000011,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Barwoutswaarder,89,,3449HK,WOERDEN,,Nederland,170405,ijzer en staal,Ijzer,A02,Overslag / opbulken,N,N,N
087970000012,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Barwoutswaarder,89,,3449HK,WOERDEN,,Nederland,170401,"koper, brons en messing",Kabel,A02,Overslag / opbulken,N,N,N
087970000014,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Barwoutswaarder,89,,3449HK,WOERDEN,,Nederland,170401,"koper, brons en messing",Koper,A02,Overslag / opbulken,N,N,N
